B.I, iKon, Kim Han-bin, 1996-10-22, 2015-09-15
Onew, SHINee, Lee Jin-ki, 1989-12-14, 2008-05-25
Key, SHINee, Kim Ki-bum, 1991-09-23, 2008-05-25
Minho, SHINee, Choi Min-ho, 1991-12-09, 2008-05-25
Taemin, SHINee, Lee Tae-min, 1993-07-18, 2008-05-25
Jonghyun, SHINee, Kim Jong-hyun, 1990-04-08, 2008-05-25
Nayeon, TWICE, Im Na-yeon, 1995-09-22, 2015-10-20
Jeongyeon, TWICE, Yoo Jeong-yeon, 1996-11-01, 2015-10-20
Momo, TWICE, Hirai Momo, 1996-11-09, 2015-10-20
Sana, TWICE, Minatozaki Sana, 1996-12-29, 2015-10-20
Jihyo, TWICE, Park Ji-hyo, 1997-02-01, 2015-10-20
Mina, TWICE, Myoui Mina, 1997-03-24, 2015-10-20
Dahyun, TWICE, Kim Da-hyun, 1998-05-28, 2015-10-20
Chaeyoung, TWICE, Son Chae-young, 1999-04-23, 2015-10-20
Tzuyu, TWICE, Chou Tzu-yu, 1999-06-14, 2015-10-20
S.Coups, SEVENTEEN, Choi Seung-cheol, 1995-08-08, 2015-05-26
Jeonghan, SEVENTEEN, Yoon Jeong-han, 1995-10-04, 2015-05-26
Joshua, SEVENTEEN, Joshua Hong, 1995-12-30, 2015-05-26
Jun, SEVENTEEN, Wen Jun-hui, 1996-06-10, 2015-05-26
Hoshi, SEVENTEEN, Kwon Soon-young, 1996-06-15, 2015-05-26
Wonwoo, SEVENTEEN, Jeon Won-woo, 1996-07-17, 2015-05-26
Woozi, SEVENTEEN, Lee Ji-hoon, 1996-11-22, 2015-05-26
DK, SEVENTEEN, Lee Seok-min, 1997-02-18, 2015-05-26
Mingyu, SEVENTEEN, Kim Min-gyu, 1997-04-06, 2015-05-26
The8, SEVENTEEN, Xu Ming-hao, 1997-11-07, 2015-05-26
Seungkwan, SEVENTEEN, Boo Seung-kwan, 1998-01-16, 2015-05-26
Vernon, SEVENTEEN, Vernon Chwe, 1998-02-18, 2015-05-26
Dino, SEVENTEEN, Lee Chan, 1999-02-11, 2015-05-26
Yoon Ji-sung, Wanna One, Yoon Byeong-ok, 1990-03-08, 2017-08-07
Ha Sung-woon, Wanna One, Ha Sung-woon, 1994-03-22, 2017-08-07
Hwang Min-hyun, Wanna One, Hwang Min-hyun, 1995-08-09, 2017-08-07
Ong Seong-wu, Wanna One, Ong Seong-wu, 1995-08-25, 2017-08-07
Kim Jae-hwan, Wanna One, Kim Jae-hwan, 1996-05-27, 2017-08-07
Kang Daniel, Wanna One, Kang Eui-geon, 1996-12-10, 2017-08-07
