SM Entertainment, '1995-02-14'
YG Entertainment, '1996-03-26'
JYP Entertainment, '1997-04-25'
Big Hit Entertainment, '2005-02-01'
Cube Entertainment, '2006-08-29'
FNC Entertainment, '2006-09-22'
Pledis Entertainment, '2007-07-01'
Starship Entertainment, '2008-01-09'
Woollim Entertainment, '2003-05-06'
DSP Media, '1991-12-11'
TS Entertainment, '2008-12-31'
Fantagio Music, '2008-07-01'
MBK Entertainment, '2007-11-22'
Brand New Music, '2011-03-17'
Plan A Entertainment, '2011-08-09'
Source Music, '2009-11-17'
RBW Entertainment, '2010-01-12'
Happy Face Entertainment, '2008-07-25'
CJ E&M Music, '2011-01-20'
WM Entertainment, '2010-01-27'
MBK Entertainment, '2007-11-22'
YGX Entertainment, '2020-06-22'
Belift Lab, '2020-03-05'
HYBE Labels, '2005-03-01'
Highup Entertainment, '2019-03-01'
KQ Entertainment, '2016-02-23'
LambC, '2021-05-21'
MNH Entertainment,'2007-03-26'
