Prism,2016-10-04,SHINee,Title,Korean,1 of 1
1 of 1,2016-10-04,SHINee,Title,Korean,1 of 1
Feel Good,2016-10-04,SHINee,B-side,Korean,1 of 1
Dont Let Me Go,2016-10-04,SHINee,B-side,Korean,1 of 1
Lipstick,2016-10-04,SHINee,B-side,Korean,1 of 1
Dont Stop,2016-10-04,SHINee,B-side,Korean,1 of 1
SHIFT,2016-10-04,SHINee,B-side,Korean,1 of 1
U Need Me,2016-10-04,SHINee,B-side,Korean,1 of 1
So Amazing,2016-10-04,SHINee,B-side,Korean,1 of 1
Tell Me What To Do,2016-11-15,SHINee,Title,Korean,1 and 1
Winter Wonderland,2016-11-15,SHINee,B-side,Korean,1 and 1
Beautiful Life,2016-11-15,SHINee,B-side,Korean,1 and 1
Rescue,2016-11-15,SHINee,B-side,Korean,1 and 1
If You Love Her,2016-11-15,SHINee,B-side,Korean,1 and 1
Dont Call Me,2021-02-22,SHINee,Title,Korean,Dont Call Me
Heart Attack,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
Marry You,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
CODE,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
I Really Want You,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
Kiss Kiss,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
Body Rhythm,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
Attention,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
Kind,2021-02-22,SHINee,B-Side,Korean,Dont Call Me
LIKEY,2017-10-30,TWICE,Title,Korean,twicestagram
TURTLE,2017-10-30,TWICE,B-side,Korean,twicestagram
MISSING U,2017-10-30,TWICE,B-side,Korean,twicestagram
WOW,2017-10-30,TWICE,B-side,Korean,twicestagram
FFW,2017-10-30,TWICE,B-side,Korean,twicestagram
DING DONG,2017-10-30,TWICE,B-side,Korean,twicestagram
24/7,2017-10-30,TWICE,B-side,Korean,twicestagram
LOOK AT ME,2017-10-30,TWICE,B-side,Korean,twicestagram
ROLLIN,2017-10-30,TWICE,B-side,Korean,twicestagram
LOVE LINE,2017-10-30,TWICE,B-side,Korean,twicestagram
